iter	Passed	Remaining
768	23698	7118
769	23730	7088
770	23760	7057
771	23789	7025
772	23818	6994
773	23849	6963
774	23880	6932
775	23909	6901
776	23938	6870
777	23968	6839
778	24000	6808
779	24030	6777
780	24059	6746
781	24091	6716
782	24122	6685
783	24153	6654
784	24185	6624
785	24215	6592
786	24245	6562
787	24275	6530
788	24306	6500
789	24336	6469
790	24368	6438
791	24397	6407
792	24427	6376
793	24456	6345
794	24488	6314
795	24519	6284
796	24549	6252
797	24578	6221
798	24606	6190
799	24635	6158
800	24666	6128
801	24696	6097
802	24727	6066
803	24756	6035
804	24788	6004
805	24818	5973
806	24848	5942
807	24877	5911
808	24907	5880
809	24940	5850
810	24969	5819
811	24999	5788
812	25029	5757
813	25059	5726
814	25089	5695
815	25121	5664
816	25152	5633
817	25183	5603
818	25215	5572
819	25244	5541
820	25273	5510
821	25302	5479
822	25332	5448
823	25363	5417
824	25392	5386
825	25422	5355
826	25451	5324
827	25482	5293
828	25511	5262
829	25541	5231
830	25575	5201
831	25606	5170
832	25636	5139
833	25666	5108
834	25696	5077
835	25727	5046
836	25757	5016
837	25789	4985
838	25819	4954
839	25851	4924
840	25884	4893
841	25915	4862
842	25947	4832
843	25979	4801
844	26012	4771
845	26043	4740
846	26075	4710
847	26103	4678
848	26133	4647
849	26162	4616
850	26191	4585
851	26223	4555
852	26253	4524
853	26282	4493
854	26313	4462
855	26342	4431
856	26371	4400
857	26400	4369
858	26431	4338
859	26461	4307
860	26490	4276
861	26521	4245
862	26552	4215
863	26584	4184
864	26613	4153
865	26646	4123
866	26675	4092
867	26708	4061
868	26737	4030
869	26768	3999
870	26798	3969
871	26829	3938
872	26861	3907
873	26891	3876
874	26921	3845
875	26952	3815
876	26979	3783
877	27010	3753
878	27041	3722
879	27071	3691
880	27101	3660
881	27131	3629
882	27161	3598
883	27191	3568
884	27220	3537
885	27251	3506
886	27281	3475
887	27310	3444
888	27341	3413
889	27371	3382
890	27401	3352
891	27430	3321
892	27459	3290
893	27489	3259
894	27520	3228
895	27548	3197
896	27578	3166
897	27609	3136
898	27638	3105
899	27667	3074
900	27698	3043
901	27730	3012
902	27759	2981
903	27790	2951
904	27820	2920
905	27849	2889
906	27878	2858
907	27909	2827
908	27940	2797
909	27970	2766
910	28000	2735
911	28030	2704
912	28058	2673
913	28088	2642
914	28118	2612
915	28148	2581
916	28176	2550
917	28206	2519
918	28236	2488
919	28265	2457
920	28295	2427
921	28325	2396
922	28355	2365
923	28384	2334
924	28412	2303
925	28441	2272
926	28471	2242
927	28501	2211
928	28536	2180
929	28567	2150
930	28597	2119
931	28626	2088
932	28657	2057
933	28689	2027
934	28718	1996
935	28748	1965
936	28779	1935
937	28809	1904
938	28839	1873
939	28868	1842
940	28898	1811
941	28928	1781
942	28961	1750
943	28992	1719
944	29021	1689
945	29052	1658
946	29081	1627
947	29111	1596
948	29141	1566
949	29172	1535
950	29203	1504
951	29232	1473
952	29263	1443
953	29291	1412
954	29321	1381
955	29349	1350
956	29381	1320
957	29412	1289
958	29442	1258
959	29472	1228
960	29502	1197
961	29531	1166
962	29561	1135
963	29592	1105
964	29622	1074
965	29650	1043
966	29680	1012
967	29708	982
968	29738	951
969	29767	920
970	29797	889
971	29827	859
972	29855	828
973	29884	797
974	29914	767
975	29944	736
976	29974	705
977	30006	674
978	30037	644
979	30068	613
980	30099	582
981	30128	552
982	30158	521
983	30189	490
984	30220	460
985	30251	429
986	30280	398
987	30309	368
988	30339	337
989	30368	306
990	30398	276
991	30429	245
992	30458	214
993	30489	184
994	30519	153
995	30547	122
996	30579	92
997	30609	61
998	30640	30
999	30670	0
